Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Cerato,Khobar,Kia,Automatic,Saudi,Standard,2016,1.6,62000,29750
Victoria,Jeddah,Ford,Automatic,Saudi,Standard,1996,4.6,325,10000
Other,Riyadh,Other,Automatic,Saudi,Full,2019,2.4,32000,59500
Tahoe,Al-Jouf,Generalis Motors,Automatic,Saudi,Semi Full,2014,5.3,157000,68500
Furniture,Jeddah,Toyota,Automatic,Saudi,Full,2017,4.0,102000,116500
Pajero,Jubail,Mitsubishi,Automatic,Saudi,Semi Full,2011,6.0,140000,38000
Other,Riyadh,Other,Automatic,Other,Full,2021,1.3,22600,50000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,59500
Tahoe,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2021,5.3,700,229000
Sportage,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2018,2.4,77000,58000
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2018,6.2,22200,230000
6,Jeddah,Mazda,Automatic,Gulf Arabic,Semi Full,2014,2.5,149000,45000
FJ,Riyadh,Toyota,Automatic,Saudi,Standard,2021,4.0,4893,136500
Prado,Khobar,Toyota,Automatic,Saudi,Standard,2011,4.0,263000,55000
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Semi Full,2006,4.0,325000,15000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,35000
Elantra,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2015,2.0,250000,32000
The 5,Riyadh,BMW,Automatic,Saudi,Semi Full,2011,3.0,276000,65000
Avalon,Dammam,Toyota,Automatic,Other,Semi Full,2015,3.5,80000,86000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,103000,83000
Other,Riyadh,Other,Automatic,Saudi,Full,2019,2.5,27000,185000
C,Dammam,Mercedes,Automatic,Saudi,Semi Full,2016,2.0,140000,105000
Other,Riyadh,Hyundai,Automatic,Saudi,Full,2019,2.0,63000,62000
Seven,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.5,37644,27500
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2018,5.7,142000,245000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,201074,55000
Edge,Dammam,Ford,Automatic,Saudi,Full,2016,3.5,76200,77000
Malibu,Dammam,Generalis Motors,Automatic,Saudi,Semi Full,2017,2.5,176000,49000
Sorento,Al-Ahsa,Kia,Automatic,Saudi,Semi Full,2015,6.0,171000,45000
CLS,Dammam,Mercedes,Automatic,Saudi,Full,2007,6.3,340000,21000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.6,214000,23500
Sonata,Aseer,Hyundai,Automatic,Saudi,Standard,2018,2.4,200000,1342
Taurus,Dammam,Ford,Automatic,Other,Full,2015,3.5,117000,69000
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,204000,45000
The 7,Dammam,BMW,Automatic,Gulf Arabic,Full,2020,2.0,4500,325000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,72000
Land Cruiser 70,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2019,4.0,131592,116000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,97700,30000
Wrangler,Riyadh,Jeep,Automatic,Gulf Arabic,Full,2017,3.6,42000,110000
Accord,Al-Medina,Honda,Automatic,Saudi,Semi Full,2013,2.4,363000,42500
Traverse,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2017,2.4,110000,49000
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2016,5.0,70000,288000
Other,Dammam,Other,Automatic,Saudi,Full,2010,5.0,58000,175000
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Standard,2016,2.4,106214,67500
Innova,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,2.7,179600,51000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,82000,149000
Marquis,Aseer,Ford,Automatic,Saudi,Full,1995,4.6,180000,13000
Odyssey,Dammam,Honda,Automatic,Saudi,Semi Full,2016,3.5,71000,63000
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2016,2.7,156495,62500
Rav4,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,2.5,15000,111000
Cerato,Riyadh,Kia,Automatic,Other,Standard,2012,1.6,312287,17000
Accent,Riyadh,Hyundai,Automatic,Gulf Arabic,Semi Full,2015,1.6,230000,28000
Expedition,Dammam,Ford,Automatic,Saudi,Full,2018,3.6,44200,159000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,99104,26800
Explorer,Al-Ahsa,Ford,Automatic,Other,Standard,2017,1.4,187000,73500
Range Rover,Al-Medina,Land Rover,Automatic,Saudi,Full,2017,3.0,72500,295000
Azera,Other,Hyundai,Automatic,Saudi,Standard,2021,3.5,11000,120000
Challenger,Jubail,Dodge,Automatic,Saudi,Full,2012,3.6,360000,35000
Other,Al-Baha,Other,Manual,Saudi,Full,2016,2.4,128,35000
Grand Cherokee,Dammam,Jeep,Automatic,Saudi,Full,2017,5.7,102000,99000
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2017,2.7,150000,70000
Escalade,Khobar,Cadillac,Automatic,Other,Full,2007,6.2,273000,39000
S,Riyadh,Mercedes,Automatic,Other,Full,2015,1.6,90000,225000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.3,197000,105000
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2016,1.6,139000,38000
Other,Other,Other,Manual,Saudi,Semi Full,2020,2.4,13800,35000
Sportage,Riyadh,Kia,Automatic,Other,Standard,2015,2.4,147000,38000
Corolla,Dammam,Toyota,Manual,Saudi,Standard,2016,1.6,83000,38500
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90084,50000
Civic,Jeddah,Honda,Automatic,Saudi,Semi Full,2019,1.6,41000,67000
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,99288,84500
Avalon,Aseer,Toyota,Automatic,Saudi,Full,2013,3.5,169000,75000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,200000
Rav4,Dammam,Toyota,Automatic,Saudi,Standard,2018,2.5,134000,66000
Cerato,Other,Kia,Automatic,Saudi,Standard,2015,1.6,120000,25000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Full,2010,2.7,260000,65000
Prestige,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,165000,84000
Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2016,2.4,87300,53500
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2018,5.3,92736,146500
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,108708,24000
Edge,Al-Ahsa,Ford,Automatic,Saudi,Full,2014,3.5,186000,54000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2019,1.6,52443,56500
X-Trail,Dammam,Nissan,Automatic,Saudi,Standard,2006,2.5,238000,13000
Impala,Aseer,Generalis Motors,Automatic,Saudi,Standard,2016,3.5,139000,65000
Accord,Qassim,Honda,Automatic,Gulf Arabic,Standard,2019,1.5,28000,88000
Taurus,Dammam,Ford,Automatic,Other,Full,2016,3.5,91000,70000
LX,Riyadh,Lexus,Automatic,Other,Full,2004,4.7,274000,65000
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Full,2013,5.5,184000,36000
LX,Dammam,Lexus,Automatic,Saudi,Full,2020,5.7,30000,468000
Hiace,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,350000,60000
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.6,311000,10000
Patrol,Dammam,Nissan,Manual,Saudi,Standard,2006,4.0,106000,37000
Other,Jeddah,Kia,Manual,Saudi,Standard,2008,2.0,350,12000
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,173700,30000
Other,Jeddah,Other,Automatic,Saudi,Full,2020,1.1,53000,35000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,132000,56000
Datsun,Riyadh,Nissan,Manual,Saudi,Full,2015,2.4,212000,42000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2007,4.8,514,60000
Hilux,Aseer,Toyota,Manual,Saudi,Full,2018,2.7,48000,90000
Rio,Jubail,Kia,Automatic,Saudi,Semi Full,2016,1.4,103000,27000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2014,2.4,216000,41000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,95000,52000
Tahoe,Al-Ahsa,Generalis Motors,Automatic,Saudi,Semi Full,2013,5.3,248000,49000
Avalon,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,3.5,53000,118000
Corolla,Dammam,Toyota,Manual,Other,Standard,1997,1.3,32500,7000
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.3,237000,43000
C,Riyadh,Mercedes,Automatic,Other,Full,2017,2.0,62000,186000
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2012,6.0,260000,52000
Sorento,Riyadh,Kia,Automatic,Saudi,Full,2015,3.5,116731,52000
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,270000,25000
S,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2014,3.0,49000,250000
Picanto,Jeddah,Kia,Manual,Saudi,Standard,2010,1.0,200000,10000
Elantra,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,55000,60000
Hiace,Abha,Toyota,Manual,Saudi,Standard,2016,2.7,180000,72000
Sonata,Khobar,Hyundai,Automatic,Saudi,Semi Full,2019,2.5,120,1550
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,2.0,89000,993
Impala,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2018,3.6,52000,75000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,280,33000
Challenger,Jeddah,Dodge,Automatic,Saudi,Full,2013,6.4,249000,70000
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2020,4.0,26000,235000
Kona,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,30271,70000
3,Riyadh,Mazda,Automatic,Saudi,Standard,2015,1.6,200000,25000
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2019,2.5,34727,83000
Other,Al-Medina,Audi,Automatic,Saudi,Full,2011,2.1,218000,40000
RX,Jeddah,Lexus,Automatic,Saudi,Full,2015,3.5,49000,123000
Ciocca,Jubail,Toyota,Automatic,Saudi,Semi Full,2010,5.7,270000,65000
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,27000,418000
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2019,5.7,45000,145000
S,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2019,3.5,80000,355000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,142000,48000
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.6,68000,44000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,20939,57500
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,13081,38000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,143000,60000
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,1.4,13400,65000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.5,111,49000
Rio,Dammam,Kia,Automatic,Saudi,Standard,2019,1.4,65000,35000
Elantra,Al-Jouf,Hyundai,Automatic,Saudi,Standard,2018,2.0,170000,43000
Other,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2013,3.5,154000,45000
Emgrand,Riyadh,Other,Automatic,Saudi,Semi Full,2020,1.8,15000,60000
Camry,Makkah,Toyota,Automatic,Other,Full,2009,2.5,350000,25000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,136000,58000
Yukon,Makkah,Generalis Motors,Automatic,Saudi,Standard,2012,5.3,65000,80000
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2012,3.0,360000,24000
Sorento,Jeddah,Kia,Automatic,Saudi,Semi Full,2010,3.3,213000,22000
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2005,4.0,340000,35000
Camry,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,45000
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Standard,2020,4.0,30000,2560
Navara,Riyadh,Nissan,Manual,Saudi,Standard,2016,2.5,132714,41500
RX,Dammam,Lexus,Automatic,Other,Full,2017,3.5,81000,165000
6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2017,2.5,70000,53000
Other,Jeddah,Audi,Automatic,Saudi,Full,2012,2.0,339,31000
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2003,1.6,230000,69000
Armada,Jeddah,Nissan,Automatic,Saudi,Full,2006,5.6,184000,30000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2013,5.3,150000,65000
S,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2016,4.0,35000,220000
Carnival,Dammam,Kia,Automatic,Gulf Arabic,Semi Full,2016,2.5,85000,62000
Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,99000
Prado,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,19000,143000
C300,Dammam,Chrysler,Automatic,Other,Full,2005,5.7,331000,15000
Other,Jazan,Generalis Motors,Automatic,Saudi,Standard,2016,2.4,151000,45000
Datsun,Tabouk,Nissan,Manual,Saudi,Full,2015,1.1,215267,31000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,72000,42000
Other,Riyadh,Other,Manual,Saudi,Standard,2003,8.5,330,40000
CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,32000
Other,Jeddah,BMW,Automatic,Saudi,Full,2015,4.0,65555,95000
S,Dammam,Mercedes,Automatic,Other,Full,2007,4.0,315000,42000
Yukon,Al-Medina,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.5,145000,100000
Edge,Jeddah,Ford,Automatic,Saudi,Standard,2017,3.5,89000,68000
Innova,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.7,175559,76500
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2014,2.0,139000,90000
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2018,2.5,90000,55000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2013,5.7,200000,57000
Echo Sport,Dammam,Ford,Automatic,Gulf Arabic,Standard,2020,1.5,2819,59000
E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2017,2.0,31000,226000
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2021,3.5,9000,122000
Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
Other,Riyadh,Dodge,Automatic,Saudi,Semi Full,2011,3.7,346410,15000
Victoria,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2008,4.6,3666,16000
Other,Riyadh,Mitsubishi,Automatic,Other,Standard,2009,1.6,222835,11500
Yukon,Abha,Generalis Motors,Automatic,Saudi,Standard,2011,5.3,293,47000
CX3,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,66000
Prado,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,78000
Other,Riyadh,Other,Automatic,Saudi,Full,2012,4.8,189000,85000
Other,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2013,3.0,318000,40000
Suburban,Dammam,Generalis Motors,Automatic,Saudi,Standard,2016,5.3,170000,100000
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.0,113000,105000
A6,Al-Medina,Audi,Automatic,Saudi,Semi Full,2018,3.0,92000,88000
Challenger,Jeddah,Dodge,Automatic,Saudi,Full,2013,5.7,173,38000
D-MAX,Riyadh,Other,Manual,Saudi,Standard,2018,2.5,52849,69500
Range Rover,Riyadh,Land Rover,Automatic,Other,Full,2016,5.0,101839,220000
Maxima,Jeddah,Nissan,Manual,Saudi,Standard,2000,3.5,400000,12500
Yaris,Makkah,Toyota,Automatic,Saudi,Standard,2017,1.3,100000,27000
Mustang,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,2.3,157000,80000
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2017,2.4,139000,69000
Marquis,Riyadh,Ford,Automatic,Saudi,Semi Full,2009,4.6,140000,22000
RX5,Riyadh,Other,Automatic,Saudi,Full,2020,2.0,7855,65500
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,33613,40000
Camry,Jeddah,Toyota,Manual,Saudi,Full,2001,4.0,350000,25000
Sportage,Riyadh,Kia,Automatic,Saudi,Standard,2019,1.6,69358,60500
Cadenza,Makkah,Kia,Automatic,Gulf Arabic,Full,2011,3.3,334624,27500
X,Riyadh,BMW,Automatic,Gulf Arabic,Full,2016,3.0,130000,160000
Yaris,Yanbu,Toyota,Automatic,Saudi,Standard,2016,1.5,100,32000
GLC,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,4000,225000
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2019,2.7,80000,120000
Other,Dammam,Nissan,Manual,Saudi,Standard,1998,3.0,200000,14000
Land Cruiser,Jazan,Toyota,Manual,Other,Full,2007,4.6,160000,125000
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2018,2.7,126000,82000
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,120244,43000
The 5,Jeddah,BMW,Automatic,Saudi,Semi Full,2019,2.0,29900,150000
Hilux,Aseer,Toyota,Manual,Saudi,Full,1995,2.4,300,15000
ES,Al-Namas,Lexus,Automatic,Saudi,Full,2007,3.5,250000,25000
Carnival,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2019,3.6,99000,2141
C300,Dammam,Chrysler,Automatic,Saudi,Full,2013,1.0,220,42000
Elantra,Jeddah,Hyundai,Automatic,Saudi,Full,2018,2.0,142,52000
Taurus,Jazan,Ford,Automatic,Saudi,Full,2014,3.5,269177,60000
Expedition,Khobar,Ford,Automatic,Saudi,Standard,2014,5.4,243500,45000
Hiace,Dammam,Toyota,Manual,Saudi,Standard,2017,2.7,223000,77000
Pathfinder,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,10000
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,132000,235000
The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,140000
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.0,137000,39000
Azera,Dammam,Hyundai,Automatic,Saudi,Full,2014,3.0,142000,50000
Sierra,Dammam,Generalis Motors,Automatic,Saudi,Standard,2012,5.3,329000,40000
Caprice,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2016,6.2,155000,77000
Yukon,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2017,6.0,61339,155000
Ciocca,Makkah,Toyota,Automatic,Saudi,Semi Full,2009,5.7,275000,55000
Maxima,Riyadh,Nissan,Automatic,Saudi,Full,2004,3.0,230000,15000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,87775,26000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Full,2016,5.3,97955,145000
Yaris,Jeddah,Toyota,Manual,Saudi,Standard,2010,1.3,350000,13000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,171000,43000
Sierra,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2016,5.3,205000,98000
Echo Sport,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2020,2.0,2400,55000
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,89000,45000
Impala,Dammam,Generalis Motors,Automatic,Gulf Arabic,Standard,2018,3.6,112000,67000
Expedition,Jeddah,Ford,Automatic,Saudi,Semi Full,2010,5.4,230,35000
A8,Makkah,Audi,Automatic,Saudi,Full,2015,3.0,85000,180000
Furniture,Other,Toyota,Automatic,Saudi,Full,2014,2.7,400000,50000
Furniture,Taef,Toyota,Automatic,Saudi,Full,2016,4.0,235000,85000
Other,Riyadh,Mercedes,Automatic,Other,Full,2020,6.9,24000,330000
Other,Jeddah,Other,Automatic,Saudi,Semi Full,2005,5.0,286,14000
Other,Jeddah,Lexus,Automatic,Saudi,Standard,2019,2.0,45000,130000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,81165,74000
Armada,Jeddah,Nissan,Automatic,Saudi,Full,2006,5.6,266000,25000
CX5,Hail,Mazda,Automatic,Saudi,Standard,2019,2.5,84000,75000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,82000,149500
Charger,Riyadh,Dodge,Automatic,Saudi,Semi Full,2016,3.6,129477,78500
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2012,5.4,177078,51000
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2017,2.7,44000,78000
Impala,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2018,3.6,75000,64000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,2.4,62000,75000
Explorer,Dammam,Ford,Automatic,Other,Full,2016,3.6,131000,113000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,31000,35000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,58000
C,Jeddah,Mercedes,Automatic,Other,Full,2018,2.0,70000,177000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Semi Full,2008,5.7,330000,27000
Rio,Dammam,Kia,Automatic,Saudi,Standard,2014,1.4,78000,24000
LX,Dammam,Lexus,Automatic,Saudi,Full,2021,5.7,14000,445000
E,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,66000,162000
Altima,Riyadh,Nissan,Automatic,Gulf Arabic,Semi Full,2018,2.5,48000,68000
S,Al-Jouf,Mercedes,Automatic,Other,Full,1993,3.0,138,22000
Sierra,Riyadh,Generalis Motors,Automatic,Saudi,Full,2015,5.3,86500,98000
H1,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2016,2.4,154000,54000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,210000,35000
F150,Riyadh,Ford,Automatic,Saudi,Standard,2012,3.0,352000,38000
C300,Jeddah,Chrysler,Automatic,Saudi,Full,2012,3.5,160000,55500
Malibu,Aseer,Generalis Motors,Automatic,Saudi,Semi Full,2015,2.5,190217,27000
Edge,Riyadh,Ford,Automatic,Saudi,Full,2011,3.5,231000,35000
Armada,Jeddah,Nissan,Automatic,Saudi,Full,2012,5.6,138000,60000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.5,63000,58000
Hilux,Jeddah,Toyota,Automatic,Saudi,Full,2016,2.8,97000,91000
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,173000,69500
H1,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,76000,59000
Land Cruiser,Dammam,Toyota,Manual,Gulf Arabic,Semi Full,2007,4.5,480000,62000
F150,Dammam,Ford,Automatic,Saudi,Standard,2011,5.0,133000,33000
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,4.6,19800,265000
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,120000,62000
Furniture,Al-Medina,Toyota,Automatic,Saudi,Full,2008,4.0,288000,36000
Other,Al-Ahsa,Other,Automatic,Saudi,Full,2009,5.2,200000,38000
Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
CT-S,Al-Medina,Cadillac,Automatic,Saudi,Semi Full,2013,3.8,137000,45000
CX9,Dammam,Mazda,Automatic,Other,Full,2017,2.5,93000,111000
Other,Riyadh,Changan,Automatic,Saudi,Full,2020,1.4,67095,60000
Other,Najran,Hyundai,Automatic,Saudi,Full,2010,3.8,240,25000
Explorer,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,3.5,93000,95000
Other,Riyadh,Mazda,Automatic,Saudi,Standard,2011,1.5,37000,14000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.4,22550,41500
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2014,2.7,221000,70000
Charger,Jeddah,Dodge,Automatic,Saudi,Full,2014,5.7,178,50000
Challenger,Riyadh,Dodge,Automatic,Saudi,Full,2014,5.7,155000,68000
Tahoe,Riyadh,Generalis Motors,Automatic,Saudi,Full,2012,5.3,281,65000
GLC,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,92000,173000
Accord,Jeddah,Honda,Automatic,Gulf Arabic,Full,2005,1.4,250000,17000
CT-S,Dammam,Cadillac,Automatic,Saudi,Semi Full,2019,2.0,43000,135000
Other,Riyadh,Other,Automatic,Saudi,Full,2007,4.5,303000,10000
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2019,6.2,58678,261500
Tucson,Riyadh,Hyundai,Automatic,Other,Full,2016,2.0,230,50000
Expedition,Riyadh,Ford,Automatic,Other,Standard,2013,1.4,190000,47000
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2016,3.5,123000,65000
Land Cruiser 70,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.0,177000,90000
Camry,Najran,Toyota,Manual,Other,Standard,2002,2.4,450000,14000
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2017,2.5,173000,68000
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2017,2.7,121000,75000
Explorer,Khobar,Ford,Automatic,Saudi,Standard,2005,4.0,300000,7000
Kona,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,2.0,76000,56000
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2011,4.6,145000,95000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019,3.5,62556,85000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2018,2.4,84315,72500
Tahoe,Dammam,Generalis Motors,Automatic,Saudi,Standard,2016,5.3,194000,108000
Other,Riyadh,Genesis,Automatic,Saudi,Semi Full,2015,3.5,181000,70000
Navara,Aseer,Nissan,Automatic,Gulf Arabic,Full,2014,2.5,167,35000
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,59073,186500
Other,Dammam,Other,Automatic,Gulf Arabic,Full,2014,3.8,115000,125000
Sunny,Qassim,Nissan,Automatic,Gulf Arabic,Standard,2016,1.5,156103,23000
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2014,2.0,152000,55000
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,2.4,75000,68000
FJ,Hafar Al-Batin,Toyota,Automatic,Saudi,Full,2013,4.0,364000,65000
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,58000,151000
C,Jeddah,Mercedes,Automatic,Other,Full,2017,2.0,98000,148000
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2016,2.7,155000,61000
Optra,Riyadh,Generalis Motors,Automatic,Saudi,Standard,2011,1.6,216000,9000
Prestige,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,77000
Innova,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2015,2.7,749000,46000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,133000,25000
